Order,TorqStop P/N,Vendor P/N,Description,Part Terminology,Part Terminology ID,Brand ID (OPC),Sub Brand ID (TorqStop),Part Group,GL Code,Make,Caliper Model, X REF NO.,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Availability Status,UPC,EAN (Other Countries),GTIN-14 (Shipping Container Code),Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
42,CAM006L,TGTELSA225-LRG728,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,ELSA 225-3,,Truck / Vocational,Mack,D1708,,Axial,Left,Two Tappets,Flat Plate with Bolt,8,2-M16*1.5 6-M20*2,305/244.5/350/369,Black,Powder Coat,Yes,No,CAM006L_01_FRO.jpg,CAM006L_02_TOP.jpg,CAM006L_03_BAC.jpg,CAM006L_04_ANG.jpg,CAM006L_05_BOT.jpg,CAM006L_06_PAC.jpg,Active,691303102272,691303102272,10691303102279,98,18.9,14.76,11.81,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
41,CAM006R,TGTELSA225-LRG729,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,ELSA 225-3,,Truck / Vocational,Mack,D1708,,Axial,Right,Two Tappets,Flat Plate with Bolt,8,2-M16*1.5 6-M20*2,305/244.5/350/369,Black,Powder Coat,Yes,No,CAM006R_01_FRO.jpg,CAM006R_02_TOP.jpg,CAM006R_03_BAC.jpg,CAM006R_04_ANG.jpg,CAM006R_05_BOT.jpg,CAM006R_06_PAC.jpg,Active,691303102265,691303102265,10691303102262,98,18.9,14.76,11.81,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
38,CAM007L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L265,Truck / Vocational / Trailer,"Mack, Volvo Steer, Trailer",D1370,12 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102234,691303102234,10691303102231,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
37,CAM007R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Meritor,EX225L2,EX225L266,Truck / Vocational / Trailer,"Mack, Volvo Steer, Trailer",D1370,12 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102227,691303102227,10691303102224,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
14,CAW001L,TGT22W-3501-100B,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Wabco,PAN22,6402250800,Trailer,Hendrickson Axles,D1777.1,,Axial,Left,Pusher Plate,Rolled Bar,6,6-M20*2.5,211/212/338/358,Black,Powder Coat,Yes,No,CAW001L_01_FRO.jpg,CAW001L_02_TOP.jpg,CAW001L_03_BAC.jpg,CAW001L_04_ANG.jpg,CAW001L_05_BOT.jpg,CAW001L_06_PAC.jpg,Active,691303101992,691303101992,10691303101999,61.66,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
13,CAW001R,TGT22W-3501-200B,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Wabco,PAN22,6402250810,Trailer,Hendrickson Axles,D1777.1,,Axial,Right,Pusher Plate,Rolled Bar,6,6-M20*2.5,212/338/358,Black,Powder Coat,Yes,No,CAW001R_01_FRO.jpg,CAW001R_02_TOP.jpg,CAW001R_03_BAC.jpg,CAW001R_04_ANG.jpg,CAW001R_05_BOT.jpg,CAW001R_06_PAC.jpg,Active,691303101985,691303101985,10691303101982,61.66,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
16,CAW002L,TGT22W-3501-100,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Wabco,PAN22,640225015 L /40225015,Trailer,SAF Holland Axles,D1777.1,,Axial,Left,Pusher Plate,Rolled Bar,6,6-M16*1.5mm,210/378/400,Black,Powder Coat,Yes,No,CAW002L_01_FRO.jpg,CAW002L_02_TOP.jpg,CAW002L_03_BAC.jpg,CAW002L_04_ANG.jpg,CAW002L_05_BOT.jpg,CAW002L_06_PAC.jpg,Active,691303102012,691303102012,10691303102019,61.66,18.05,13.58,10.24,1,1,16,CN,8708.30.5090,013-013-001,12 Months / Unlimited
15,CAW002R,TGT22W-3501-200,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Wabco,PAN22,640225016 R /40225016,Trailer,SAF Holland Axles,D1777.1,,Axial,Right,Pusher Plate,Rolled Bar,6,6-M16*1.5mm,210/378/400,Black,Powder Coat,Yes,No,CAW002R_01_FRO.jpg,CAW002R_02_TOP.jpg,CAW002R_03_BAC.jpg,CAW002R_04_ANG.jpg,CAW002R_05_BOT.jpg,CAW002R_06_PAC.jpg,Active,691303102005,691303102005,10691303102002,61.66,18.05,13.58,10.24,1,1,16,CN,8708.30.5090,013-013-001,12 Months / Unlimited
18,CAW003L,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Wabco,Maxx 22T,6402220070        S-35973-L,Trailer,Hendrickson Axles,D1777.2,,Axial,Left,Pusher Plate,Rolled Bar,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102036,691303102036,10691303102033,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
17,CAW003R,NA,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Wabco,Maxx 22T,6402220080        S-35973-R,Trailer,Hendrickson Axles,D1777.2,,Axial,Right,Pusher Plate,Rolled Bar,,,,Black,Powder Coat,Yes,No,ADB Caliper_Rep_Image.jpg,,,,,,In Development,691303102029,691303102029,10691303102026,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
3,CRB001L,TK081257,New Air Disc Brake caliper assembly with carrier,Air Brake Disc Brake Caliper,58853,JYFH,JYFK,CWC,CWC,Bendix,ADB22X,"K081256, K109957X, K097846SC K147136X",Truck,Freightliner® Western Star®,D1369,12 Deg.,Vertical (Radial),(A) Right,Two Tappets,Flat Bar  with Clevis,8,2-M16*1.5 6-M16*2,266/390/310,Black,Powder Coat,Yes,No,CRB001L_01_FRO.jpg,CRB001L_02_TOP.jpg,CRB001L_03_BAC.jpg,CRB001L_04_ANG.jpg,CRB001L_05_BOT.jpg,CRB001L_06_PAC.jpg,Active,691303101886,691303101886,10691303101883,72.3,18.05,13.58,10.24,1,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
