LINE,TorqStop P/N,Description,Price,Year,Make,Caliper Model,Vehicle Type,Application,Pad Shape,Brake Chamber Mounting Angle,Bracket Mounting Type,Position,ADJUSTMENT DESIGN,PAD RETAINER STYLE,# OF BOLT HOLES IN BRACKET,BOLT HOLE SIZE,BOLT HOLE SPACING,Caliper Color,Caliper Finish,Hardware Included,Pads included,IMAGE 1 #,IMAGE 2 #,IMAGE 3 #,Availability Status,UPC Code,Carton Weight (lb),Carton Length (in),Carton Width (in),Carton Height (in),Items per Case,Minimum Order QTY,PCS /  Pallet,Country of Origin,HTS Code,VMRS Code,Warranty 
11,CAB005R,New Air Disc Brake caliper assembly with carrier,0,2022,Knorr,SN-7,Coach,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1203,12 Deg.,Axial,Right,Two Tappets,Flat Bar  with Clevis,,,,Black,Powder Coat,Yes,No,,,,In Development,691303101961,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
12,CAB005L,New Air Disc Brake caliper assembly with carrier,0,2022,Knorr,SN-7,Coach,"Transit, Coach, MCI, Prevost, Fire, Refuse ",D1203,12 Deg.,Axial,Left,Two Tappets,Flat Bar  with Clevis,,,,Black,Powder Coat,Yes,No,,,,In Development,691303101978,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
23,CAM002R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Trailer,Trailer,D1370,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102081,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
24,CAM002L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Trailer,Trailer,D1370,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102098,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
29,CRM005R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck / Trailer,"Freightliner,
Western Star,
Mack, Volvo",D1370,,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102142,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
30,CRM005L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck / Trailer,"Freightliner,
Western Star,
Mack, Volvo",D1370,,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102159,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
31,CRM001R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck / Trailer,Truck Trailer,D1370,12 Deg.,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102166,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
32,CRM001L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck / Trailer,Truck Trailer,D1370,12 Deg.,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102173,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
33,CRM002R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck,"Mack, Volvo drive",D1370,12 Deg.,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102180,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
34,CRM002L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck,"Mack, Volvo drive",D1370,12 Deg.,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102197,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
35,CRM003R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H2,Truck / Vocational,"Mack, Volvo",D1311,12 Deg.,Radial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102203,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
36,CRM003L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H2,Truck / Vocational,"Mack, Volvo",D1311,12 Deg.,Radial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102210,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
37,CAM004R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck / Vocational / Trailer,"Mack, Volvo Steer, Trailer",D1370,12 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102227,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
38,CAM004L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225L2,Truck / Vocational / Trailer,"Mack, Volvo Steer, Trailer",D1370,12 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102234,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
39,CAM005R,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H2,Truck / Vocational,"Mack, Volvo",D1311,0 Deg.,Axial,Right,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102241,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
40,CAM005L,New Air Disc Brake caliper assembly with carrier,0,2022,Meritor,EX225H2,Truck / Vocational,"Mack, Volvo",D1311,0 Deg.,Axial,Left,Two Tappets,Flat Plate with Bolt,,,,Black,Powder Coat,Yes,No,,,,In Development,691303102258,,,,,,1,30,CN,8708.30.5090,013-013-001,12 Months / Unlimited
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
